journey_id,line,direction,origin,destination,stop_id,scheduled_arrival,expected_arrival,scheduled_departure,expected_departure,arrival_status,departure_status,collection_time,arrival_delay_min,departure_delay_min,journey_stop_id,previous_delay_min,previous_departure_delay_min,delay_change_min,future_arrival_delay_min,target_delayed,scheduled_arrival_paris,hour,day_of_week,minutes_to_scheduled
SNCF_MAGENTA_PRD:VehicleJourney::0ce3c383-679d-40f3-84af-78d7951b8ece:LOC,B,Aller,Aéroport Charles de Gaulle 2 (Terminal 2),Massy-Palaiseau,STIF:StopArea:SP:47940:,2026-08-20 16:18:29+00:00,2026-08-20 16:24:56+00:00,2026-08-20 16:18:57+00:00,2026-08-20 16:25:16+00:00,ON_TIME,ON_TIME,2026-08-20 16:13:14.857448+00:00,6.45,6.316666666666666,SNCF_MAGENTA_PRD:VehicleJourney::0ce3c383-679d-40f3-84af-78d7951b8ece:LOC_STIF:StopArea:SP:47940:,5.966666666666667,5.833333333333333,0.4833333333333334,7.05,1,2026-08-20 18:18:29+02:00,18.0,3.0,5.2357092000000005
SNCF_MAGENTA_PRD:VehicleJourney::b3ee60ca-e69b-4be4-b94e-52c208fc065b:LOC,B,Aller,Aéroport Charles de Gaulle 2 (Terminal 2),Robinson,STIF:StopArea:SP:43122:,2026-08-20 16:19:40+00:00,2026-08-20 16:21:34+00:00,2026-08-20 16:20:10+00:00,2026-08-20 16:22:04+00:00,ON_TIME,ON_TIME,2026-08-20 16:13:14.857448+00:00,1.9,1.9,SNCF_MAGENTA_PRD:VehicleJourney::b3ee60ca-e69b-4be4-b94e-52c208fc065b:LOC_STIF:StopArea:SP:43122:,2.066666666666667,2.066666666666667,-0.16666666666666696,1.35,0,2026-08-20 18:19:40+02:00,18.0,3.0,6.419042533333334
SNCF_MAGENTA_PRD:VehicleJourney::17e5528e-6d8e-43da-92b3-40a2099ce61e:LOC,B,Retour,Robinson,Aéroport Charles de Gaulle 2 (Terminal 2),STIF:StopArea:SP:46163:,2026-08-20 17:39:10+00:00,2026-08-20 17:39:10+00:00,2026-08-20 17:39:40+00:00,2026-08-20 17:39:40+00:00,ON_TIME,ON_TIME,2026-08-20 16:13:14.857448+00:00,0.0,0.0,SNCF_MAGENTA_PRD:VehicleJourney::17e5528e-6d8e-43da-92b3-40a2099ce61e:LOC_STIF:StopArea:SP:46163:,0.0,0.0,0.0,0.0,0,2026-08-20 19:39:10+02:00,19.0,3.0,85.91904253333334
SNCF_MAGENTA_PRD:VehicleJourney::b2639b27-9122-4c97-8a19-ff0fb9d5901b:LOC,B,Aller,Aéroport Charles de Gaulle 2 (Terminal 2),Massy-Palaiseau,STIF:StopArea:SP:43228:,2026-08-20 16:31:33+00:00,2026-08-20 16:31:33+00:00,2026-08-20 16:32:05+00:00,2026-08-20 16:31:53+00:00,ON_TIME,ON_TIME,2026-08-20 16:13:14.857448+00:00,0.0,-0.2,SNCF_MAGENTA_PRD:VehicleJourney::b2639b27-9122-4c97-8a19-ff0fb9d5901b:LOC_STIF:StopArea:SP:43228:,0.0,-0.2,0.0,0.0,0,2026-08-20 18:31:33+02:00,18.0,3.0,18.30237586666667
SNCF_MAGENTA_PRD:VehicleJourney::b2639b27-9122-4c97-8a19-ff0fb9d5901b:LOC,B,Aller,Aéroport Charles de Gaulle 2 (Terminal 2),Massy-Palaiseau,STIF:StopArea:SP:43607:,2026-08-20 16:15:56+00:00,2026-08-20 16:15:56+00:00,2026-08-20 16:16:29+00:00,2026-08-20 16:16:16+00:00,ON_TIME,ON_TIME,2026-08-20 16:13:14.857448+00:00,0.0,-0.21666666666666667,SNCF_MAGENTA_PRD:VehicleJourney::b2639b27-9122-4c97-8a19-ff0fb9d5901b:LOC_STIF:StopArea:SP:43607:,0.0,-0.21666666666666667,0.0,0.0,0,2026-08-20 18:15:56+02:00,18.0,3.0,2.6857092
SNCF_MAGENTA_PRD:VehicleJourney::b2639b27-9122-4c97-8a19-ff0fb9d5901b:LOC,B,Aller,Aéroport Charles de Gaulle 2 (Terminal 2),Massy-Palaiseau,STIF:StopArea:SP:44493:,2026-08-20 16:19:38+00:00,2026-08-20 16:19:38+00:00,2026-08-20 16:20:11+00:00,2026-08-20 16:19:58+00:00,ON_TIME,ON_TIME,2026-08-20 16:13:14.857448+00:00,0.0,-0.21666666666666667,SNCF_MAGENTA_PRD:VehicleJourney::b2639b27-9122-4c97-8a19-ff0fb9d5901b:LOC_STIF:StopArea:SP:44493:,0.0,-0.21666666666666667,0.0,0.0,0,2026-08-20 18:19:38+02:00,18.0,3.0,6.3857092
SNCF_MAGENTA_PRD:VehicleJourney::b2639b27-9122-4c97-8a19-ff0fb9d5901b:LOC,B,Aller,Aéroport Charles de Gaulle 2 (Terminal 2),Massy-Palaiseau,STIF:StopArea:SP:45877:,2026-08-20 16:14:11+00:00,2026-08-20 16:14:11+00:00,2026-08-20 16:14:39+00:00,2026-08-20 16:14:31+00:00,ON_TIME,ON_TIME,2026-08-20 16:13:14.857448+00:00,0.0,-0.13333333333333333,SNCF_MAGENTA_PRD:VehicleJourney::b2639b27-9122-4c97-8a19-ff0fb9d5901b:LOC_STIF:StopArea:SP:45877:,0.0,-0.13333333333333333,0.0,0.0,0,2026-08-20 18:14:11+02:00,18.0,3.0,0.9357092
SNCF_MAGENTA_PRD:VehicleJourney::b2639b27-9122-4c97-8a19-ff0fb9d5901b:LOC,B,Aller,Aéroport Charles de Gaulle 2 (Terminal 2),Massy-Palaiseau,STIF:StopArea:SP:46007:,2026-08-20 16:26:06+00:00,2026-08-20 16:26:06+00:00,2026-08-20 16:26:33+00:00,2026-08-20 16:26:26+00:00,ON_TIME,ON_TIME,2026-08-20 16:13:14.857448+00:00,0.0,-0.11666666666666667,SNCF_MAGENTA_PRD:VehicleJourney::b2639b27-9122-4c97-8a19-ff0fb9d5901b:LOC_STIF:StopArea:SP:46007:,0.0,-0.11666666666666667,0.0,0.0,0,2026-08-20 18:26:06+02:00,18.0,3.0,12.852375866666668
SNCF_MAGENTA_PRD:VehicleJourney::b2639b27-9122-4c97-8a19-ff0fb9d5901b:LOC,B,Aller,Aéroport Charles de Gaulle 2 (Terminal 2),Massy-Palaiseau,STIF:StopArea:SP:43177:,2026-08-20 16:24:21+00:00,2026-08-20 16:24:21+00:00,2026-08-20 16:24:47+00:00,2026-08-20 16:24:41+00:00,ON_TIME,ON_TIME,2026-08-20 16:13:14.857448+00:00,0.0,-0.1,SNCF_MAGENTA_PRD:VehicleJourney::b2639b27-9122-4c97-8a19-ff0fb9d5901b:LOC_STIF:StopArea:SP:43177:,0.0,-0.1,0.0,0.0,0,2026-08-20 18:24:21+02:00,18.0,3.0,11.102375866666668
SNCF_MAGENTA_PRD:VehicleJourney::1c49b835-c5e4-4b5b-8d07-0cc4bc691ccf:LOC,B,Retour,Massy-Palaiseau,Mitry - Claye,STIF:StopArea:SP:46725:,2026-08-20 17:27:10+00:00,2026-08-20 17:27:10+00:00,2026-08-20 17:27:40+00:00,2026-08-20 17:27:40+00:00,ON_TIME,ON_TIME,2026-08-20 16:13:14.857448+00:00,0.0,0.0,SNCF_MAGENTA_PRD:VehicleJourney::1c49b835-c5e4-4b5b-8d07-0cc4bc691ccf:LOC_STIF:StopArea:SP:46725:,0.0,0.0,0.0,0.0,0,2026-08-20 19:27:10+02:00,19.0,3.0,73.91904253333334
SNCF_MAGENTA_PRD:VehicleJourney::b3ee60ca-e69b-4be4-b94e-52c208fc065b:LOC,B,Aller,Aéroport Charles de Gaulle 2 (Terminal 2),Robinson,STIF:StopArea:SP:43067:,2026-08-20 16:54:00+00:00,2026-08-20 16:55:36+00:00,2026-08-20 16:54:28+00:00,2026-08-20 16:55:56+00:00,ON_TIME,ON_TIME,2026-08-20 16:13:14.857448+00:00,1.6,1.4666666666666666,SNCF_MAGENTA_PRD:VehicleJourney::b3ee60ca-e69b-4be4-b94e-52c208fc065b:LOC_STIF:StopArea:SP:43067:,1.6,1.4666666666666666,0.0,1.6,0,2026-08-20 18:54:00+02:00,18.0,3.0,40.75237586666666
SNCF_MAGENTA_PRD:VehicleJourney::10566628-a522-4ef2-bca6-39a28ced62c7:LOC,B,Aller,Aéroport Charles de Gaulle 2 (Terminal 2),Robinson,STIF:StopArea:SP:43067:,2026-08-20 17:39:00+00:00,2026-08-20 17:39:00+00:00,2026-08-20 17:39:28+00:00,2026-08-20 17:39:20+00:00,ON_TIME,ON_TIME,2026-08-20 16:13:14.857448+00:00,0.0,-0.13333333333333333,SNCF_MAGENTA_PRD:VehicleJourney::10566628-a522-4ef2-bca6-39a28ced62c7:LOC_STIF:StopArea:SP:43067:,0.0,-0.13333333333333333,0.0,0.0,0,2026-08-20 19:39:00+02:00,19.0,3.0,85.75237586666667
SNCF_MAGENTA_PRD:VehicleJourney::b3ee60ca-e69b-4be4-b94e-52c208fc065b:LOC,B,Aller,Aéroport Charles de Gaulle 2 (Terminal 2),Robinson,STIF:StopArea:SP:43071:,2026-08-20 16:15:00+00:00,2026-08-20 16:16:54+00:00,2026-08-20 16:15:50+00:00,2026-08-20 16:17:44+00:00,ON_TIME,ON_TIME,2026-08-20 16:13:14.857448+00:00,1.9,1.9,SNCF_MAGENTA_PRD:VehicleJourney::b3ee60ca-e69b-4be4-b94e-52c208fc065b:LOC_STIF:StopArea:SP:43071:,2.066666666666667,2.066666666666667,-0.16666666666666696,1.35,0,2026-08-20 18:15:00+02:00,18.0,3.0,1.7523758666666667
